SUBJECT;LABEL;AVGDIST;DICE;HDRFDST
123117-PP;GreyMatter;0.4231330461496306;0.6978704127057147;5.744562646538029
123117-PP;Hippocampus;3.1969057270624086;0.39243677617584494;26.019223662515376
123117-PP;Thalamus;1.1088777460554284;0.6917473089050777;17.72004514666935
123117-PP;WhiteMatter;0.34996252640201225;0.8320329783908171;3.0
123925;Amygdala;1.4355021647787027;0.5676643642875415;21.400934559032695
123925;GreyMatter;0.41066872202129967;0.6835879231818072;5.0
123925;Hippocampus;3.0433203173660215;0.3900860117700317;25.25866188063018
123925;Thalamus;1.097955773640498;0.738904777036331;23.727621035409346
123925;WhiteMatter;0.34175304799885564;0.8245185581130614;3.0
123925-PP;Amygdala;1.4355021647787027;0.5676643642875415;21.400934559032695
123925-PP;GreyMatter;0.41066872202129967;0.6835879231818072;5.0
